"","name"
"112","8-Acetylegelolide"
"113","9-Decenoic acid"
"114","AICA-riboside"
"115","AICAR"
"116","Abscisic acid"
"117","Acamprosate"
"118","Acetoacetic acid"
"119","Acetoin"
"120","Acetylcysteine"
"121","Acetylglycine"
"122","Acipimox"
"123","Adenosine"
"124","Adipic acid"
"125","Adrenic acid"
"126","Aldosterone"
"127","Allantoin"
"128","Allose"
"129","Allyl hexenoate"
"130","Aminomalonic acid"
"131","Annoglabasin F"
"132","Apigenin 7-sulfate"
"133","Arabinonic acid"
"134","Arachidic acid"
"135","Artemether"
"136","Ascorbic acid"
"137","Ascorbic acid 2-sulfate"
"138","Asparaginylglutamic acid"
"139","Azelaic acid"
"140","Baicalin"
"141","Barbital"
"142","Behenic acid"
"143","Behenoylglycine"
"144","Benzoic acid"
"145","Bergaptol"
"146","Biflorin"
"147","Bilirubin"
"148","Blumenol C glucoside"
"149","CPA(18:0/0:0)"
"150","Cabergoline"
"151","Caffeic acid"
"152","Calonectrin"
"153","Caprylic acid"
"154","Capryloylglycine"
"155","Carnosic acid"
"156","Carnosol"
"157","Cibaric acid"
"158","Cinnamoylglycine"
"159","Citraconic acid"
"160","Citronellyl propionate"
"161","Citrulline"
"162","Citrusin E"
"163","Corchoionol C 9-glucoside"
"164","Cortisol 21-sulfate"
"165","Cyclic GMP"
"166","Cyclodopa glucoside"
"167","Cyclopentanone"
"168","Cysteamine"
"169","Cysteine-S-sulfate"
"170","Cytidine"
"171","D-Fructose"
"172","D-Galactose"
"173","D-Glucuronic acid"
"174","D-Glucuronic acid 1-phosphate"
"175","D-Glucurono-6,3-lactone"
"176","D-Glycero-D-galacto-heptitol"
"177","D-Psicose"
"178","D-Ribose"
"179","D-Ribose 5-phosphate"
"180","D-Tartaric acid"
"181","D-glycero-L-galacto-Octulose"
"182","DL-4-Hydroxyphenyllactic acid"
"183","DL-Isocitric acid lactone"
"184","DL-Lanthionine"
"185","De-O-methylsterigmatocystin"
"186","Deoxyinosine"
"187","Deoxyribose"
"188","Deoxyribose 5-phosphate"
"189","Deoxyuridine"
"190","Diacetyl"
"191","Dicaffeoylputrescine"
"192","Dihomo-gamma-linolenic acid"
"193","Dihydroactinidiolide"
"194","Dihydrocarvone"
"195","Dihydronaringenin-O-sulphate"
"196","Dihydronepetalactone"
"197","Dihydrouracil"
"198","Docosadienoate (22:2n6)"
"199","Docosahexaenoic acid"
"200","Docosatrienoic acid"
"201","Dodecanoic acid"
"202","Doxazosin"
"203","Doxycycline"
"204","Eicosadienoic acid"
"205","Eicosapentaenoic acid"
"206","Elaidic acid"
"207","Enilconazole"
"208","Equol 7-O-glucuronide"
"209","Erinacine B"
"210","Erucic acid"
"211","Erythronic acid"
"212","Estrone sulfate"
"213","Ethylmalonic acid"
"214","Fasciculol C"
"215","Ferulic acid"
"216","Flavin mononucleotide"
"217","Flurandrenolide"
"218","Galactaric acid"
"219","Galactitol"
"220","Galactonic acid"
"221","Geranyl acetoacetate"
"222","Gingerol"
"223","Gluconic acid"
"224","Glutaconic acid"
"225","Glutamylalanine"
"226","Glutaric acid"
"227","Glyceric acid"
"228","Glycerol 1-propanoate diacetate"
"229","Glycerophosphoinositol"
"230","Glycerylphosphorylethanolamine"
"231","Glycodiazine"
"232","Glycogen"
"233","Glycylprolylhydroxyproline"
"234","Glyoxylic acid"
"235","Goshuyic acid"
"236","Gravelliferone"
"237","Guanosine"
"238","Heneicosanoic acid"
"239","Heptadecanoic acid"
"240","Heptaethylene glycol"
"241","Heptanoic acid"
"242","Hexacosanoic acid"
"243","Hexadecanedioic acid"
"244","Hippuric acid"
"245","Homocysteine thiolactone"
"246","Homocysteinesulfinic acid"
"247","Homovanillic acid"
"248","Homoveratric acid"
"249","Hydantoin-5-propionic acid"
"250","Hydroquinone"
"251","Hydroxykynurenine"
"252","Hydroxyoctanoic acid"
"253","Hydroxyprolyl-Valine"
"254","Hypoxanthine"
"255","Imidazoleacetic acid"
"256","Indole"
"257","Indole-3-acetylglycine"
"258","Indole-3-carboxaldehyde"
"259","Indole-3-carboxylic acid"
"260","Indole-3-methyl acetate"
"261","Indoleacetaldehyde"
"262","Indolepyruvate"
"263","Indoxyl glucuronide"
"264","Indoxyl sulfate"
"265","Inosine"
"266","Inosinic acid"
"267","Isobutyrylglycine"
"268","Isoniazid alpha-ketoglutaric acid"
"269","Isovalerylglucuronide"
"270","Isoxanthopterin"
"271","Isradipine"
"272","Itaconic acid"
"273","Janthitrem E"
"274","Juglone glucoside"
"275","L-Arabitol"
"276","L-Cysteine"
"277","L-Dihydroorotic acid"
"278","L-Fucose"
"279","L-Homocysteic acid"
"280","L-beta-aspartyl-L-glutamic acid"
"281","Limocitrol"
"282","Linoleic acid"
"283","Lipoamide"
"284","Lomefloxacin"
"285","Lumichrome"
"286","LysoPC(15:0/0:0)"
"287","LysoPC(18:3(6Z,9Z,12Z)/0:0)"
"288","LysoPE(0:0/20:2(11Z,14Z))"
"289","LysoPE(0:0/20:5(5Z,8Z,11Z,14Z,17Z))"
"290","LysoPE(0:0/22:4(7Z,10Z,13Z,16Z))"
"291","LysoPE(0:0/22:5(4Z,7Z,10Z,13Z,16Z))"
"292","LysoPE(20:1(11Z)/0:0)"
"293","LysoPE(20:4(5Z,8Z,11Z,14Z)/0:0)"
"294","Maleimide"
"295","Maltopentaose"
"296","Maltotriose"
"297","Mammea E/BB"
"298","Mangostanol"
"299","Mebendazole"
"300","Melilotoside"
"301","Melleolide B"
"302","Melleolide E"
"303","Meprobamate"
"304","Metharbital"
"305","Methyl beta-D-glucopyranoside"
"306","Methylcysteine"
"307","Methylgingerol"
"308","Methylglutaric acid"
"309","Mevalonic acid"
"310","Modafinil"
"311","Mono-trans-p-coumaroylmesotartaric acid"
"312","Monuron"
"313","Myristicin"
"314","N'-Formylkynurenine"
"315","N-Acetyl-D-Glucosamine 6-Phosphate"
"316","N-Acetyl-D-glucosamine"
"317","N-Acetyl-D-lactosamine"
"318","N-Acetyl-L-alanine"
"319","N-Acetyl-L-aspartic acid"
"320","N-Acetyl-L-glutamic acid"
"321","N-Acetyl-L-phenylalanine"
"322","N-Acetyl-L-tyrosine"
"323","N-Acetylasparagine"
"324","N-Acetylneuraminic acid"
"325","N-Acetylproline"
"326","N-Acetylserine"
"327","N-Acetyltryptophan"
"328","N-Carbamoylsarcosine"
"329","N-Formyl-L-methionine"
"330","N-Formylglycine"
"331","N-Glycolylneuraminic acid"
"332","N-Methyl-D-aspartic acid"
"333","N4-Acetylcytidine"
"334","Nicotinic acid"
"335","Nicotinic acid ribonucleoside"
"336","Nicotinuric acid"
"337","Nonadecenoic acid"
"338","Nonoxynol-9"
"339","Norspermidine"
"340","O-methoxycatechol-O-sulphate"
"341","Oleoyl glycine"
"342","Oxalic acid"
"343","PC(16:1(9Z)/14:0)"
"344","PE(P-16:0/20:4(5Z,8Z,11Z,14Z))"
"345","PG(16:0/18:1(11Z))"
"346","PG(16:0/18:2(9Z,12Z))"
"347","PG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))"
"348","PS(18:0/18:0)"
"349","PS(18:0/18:2(9Z,12Z))"
"350","Palmitic acid alkyne"
"351","Palmitoleic acid"
"352","Pelargonic acid"
"353","Pentacosanoic acid"
"354","Pentadecanoic acid"
"355","Perfluoro-1-butanesulfonic acid (PFBS)"
"356","Perillic acid"
"357","Phenol"
"358","Phenol sulphate"
"359","Phenylbutazone"
"360","Phosphoenolpyruvic acid"
"361","Pimelic acid"
"362","Portuloside A"
"363","Pregnenolone sulfate"
"364","Propionic acid"
"365","Prostaglandin D2"
"366","Prostaglandin E2"
"367","Prostaglandin F1a"
"368","Pterin"
"369","Pteroic acid"
"370","Pubescenol"
"371","Pyrocatechol sulfate"
"372","Pyrrole-2-carboxylic acid"
"373","Pyruvaldehyde"
"374","Quinaldic acid"
"375","Quinic acid"
"376","Ribose 1,5-bisphosphate"
"377","Ribothymidine"
"378","Rosmarinic acid"
"379","Saccharin"
"380","Salvigenin"
"381","Sebacic acid"
"382","Shikimate-3-phosphate"
"383","Suberic acid"
"384","Succinylcarnitine"
"385","Sulfoglycolithocholate(2-)"
"386","Tetracosahexaenoic acid"
"387","Tetracosanoic acid"
"388","Tetracosapentenoic acid"
"389","Tetracosatetraenoic acid (24:4n-6)"
"390","Tetradecenoic acid"
"391","Thiodiacetic acid"
"392","Threonylleucine"
"393","Thymidine"
"394","Thymine"
"395","Tricosanoic acid"
"396","Tridecanoic acid"
"397","Tyrosol"
"398","Uracil"
"399","Ureidosuccinic acid"
"400","Uridine 5'-monophosphate"
"401","Uridine diphosphate-N-acetylgalactosamine"
"402","Valerenic acid"
"403","Valeric acid"
"404","Vanillic acid 4-O-sulfate"
"405","Vanilloylglycine"
"406","Vitamin A"
"407","Xanthine"
"408","Xanthosine"
"409","Xanthurenic acid"
"410","[4]-Gingerol"
"411","[6]-Gingerdiol 3,5-diacetate"
"412","all-cis-4,7,10,13,16-Docosapentaenoic acid"
"413","all-trans-Retinoic acid"
"414","alpha-Ketoisovaleric acid"
"415","alpha-Tocopherol"
"416","c19:2"
"417","c26:3"
"418","cis-2-Methylaconitate"
"419","cortisol 21-acetate"
"420","dCMP"
"421","delta-Valerolactone"
"422","ethyl 3-indoleacetate"
"423","gamma-Glutamylglutamic acid"
"424","gamma-Glutamyltyrosine"
"425","gamma-Linolenic acid"
"426","lysops(22:0)"
"427","mannosyl-glycerate"
"428","myo-Inositol"
"429","n6-(delta2-isopentenyl)-adenine"
"430","o-succinyl-homoserine"
"431","p-Acetaminobenzaldehyde"
"432","p-Cresol"
"433","p-Hydroxyphenylacetic acid"
"434","thieno[2,3-d]pyrimidin-4(3H)-one"
"435","trans-Aconitic acid"
"436","vanillyl mandelate"
"437","β-D-Glucopyranuronic acid"
"438","(-)-erythro-Anethole glycol 1-glucoside"
"439","(10Z,12Z)-octadeca-10,12-dienoylcarnitine"
"440","(13Z,16Z)-hexacosa-13,16-dienoic acid"
"441","(2E)-Dodecenoyl-CoA"
"442","(5Z)-3-aminonon-5-enoic acid"
"443","(5Z,8Z)-Tetradecadienoylcarnitine"
"444","(7Z,10Z)-Hexadecadienoylcarnitine"
"445","(R)-2-Benzylsuccinate"
"446","(R)-Amphetamine"
"447","(R)-Ketamine"
"448","(R)-Lipoic acid"
"449","(S)-Homostachydrine"
"450","(S)-Succinyldihydrolipoamide"
"451","(S)-beta-Aminoisobutyric acid"
"452","(Â±)-2-Methylbutanal"
"453","(Â±)-Metalaxyl"
"454","1,2,3-Trihydroxybenzene"
"455","1,25-Dihydroxyvitamin D3-26,23-lactone"
"456","1,3-Benzodioxolylbutanamine (BDB)"
"457","1,3-Dimethyluracil"
"458","1,3-Phenylenediamine"
"459","1,5-Naphthalenediamine"
"460","1,7-Dimethylguanosine"
"461","1-Deoxy-D-glucitol"
"462","1-Hydroxyepiacorone"
"463","1-Methoxyphaseollidin"
"464","1-Methyladenosine"
"465","1-Methylguanine"
"466","1-Methylhistidine"
"467","1-Octen-3-yl glucoside"
"468","1-Pentanesulfenothioic acid"
"469","1-Phenylethanol"
"470","12-oxo-PDA"
"471","12S-HHT"
"472","13-Docosenamide"
"473","13-OxoODE"
"474","16-Dehydroprogesterone"
"475","17alpha-Estradiol"
"476","18-Hydroxycorticosterone"
"477","18-Hydroxycortisol"
"478","2',4-Dihydroxy-4',6'-dimethoxy-3'-prenylchalcone"
"479","2'-Deoxyguanosine 5'-monophosphate"
"480","2,2,6,6-Tetramethyl-4-piperidinol"
"481","2,4,5-Trimethylaniline"
"482","2,4-Diamino-6-hydroxypyrimidine"
"483","2,4-Dimethylbenzaldehyde"
"484","2,5-Dihydro-2,4,5-trimethyloxazole"
"485","2-(3-Carboxy-3-aminopropyl)-L-histidine"
"486","2-(Methylamino)benzoic acid"
"487","2-(acetylamino)-3-(1H-indol-3-yl)propanoic acid"
"488","2-Acetamidophenol"
"489","2-Aminobenzoic acid"
"490","2-Aminonicotinic acid"
"491","2-Hexenoylcarnitine"
"492","2-Hydroxyglutarate"
"493","2-Hydroxyphenethylamine"
"494","2-Hydroxypyridine"
"495","2-Hydroxyquinoline"
"496","2-Indolecarboxylic acid"
"497","2-Isopropylaniline"
"498","2-Methylpropanal"
"499","2-Nonenoic acid"
"500","2-Octenoic acid"
"501","2-Octenoylcarnitine"
"502","2-Oxindole"
"503","2-Phenylbutyric acid"
"504","2-Phosphoglyceric acid"
"505","2-aminophenol"
"506","2-hydroxyflutamide"
"507","2-hydroxymexiletine"
"508","2-methyl-1,2-dihydrophthalazin-1-one"
"509","20-HETE ethanolamide"
"510","3-Aminosalicylic acid"
"511","3-Furoic acid"
"512","3-Hydroxybutyrylcarnitine"
"513","3-Hydroxyhexanoylcarnitine"
"514","3-Hydroxyhippuric acid"
"515","3-Hydroxymelatonin"
"516","3-Ketosphingosine"
"517","3-Methyladenine"
"518","3-Methylhistamine"
"519","3-Methylhistidine"
"520","3-Methylpentanoylcarnitine"
"521","3-Nitrotyrosine"
"522","4,7-Dioxoheptanoic acid"
"523","4-(2,3-dihydro-1,4-benzodioxin-6-yl)butanoic acid"
"524","4-Acetamidobenzaldehyde"
"525","4-Hydroxybenzaldehyde"
"526","4-Hydroxycinnamic acid"
"527","4-Hydroxyindole"
"528","4-Hydroxyphenylglycine"
"529","4-Hydroxytamoxifen"
"530","4-Morpholinepropanesulfonic acid"
"531","4-Oxoproline"
"532","4-Trimethylammoniobutanoic acid"
"533","4-oxo-Retinoic acid"
"534","5'-Deoxyadenosine"
"535","5'-Methylthioadenosine"
"536","5,6-Dihydrouridine"
"537","5,6-Dihydroxyprostaglandin F1a"
"538","5-Aminopentanoic acid"
"539","5-Dodecenoylcarnitine"
"540","5-Hydroxy-L-tryptophan"
"541","5-Hydroxyindole"
"542","5-Hydroxyisourate"
"543","5-Hydroxylysine"
"544","5-Hydroxymethyl-4-methyluracil"
"545","5-Methoxyindole"
"546","5-Methoxytryptamine"
"547","5-Methoxytryptophan"
"548","5-Methylcytosine"
"549","5-Phosphoribosylamine"
"550","6-Acetyl-1,2,3,4-tetrahydropyridine"
"551","6-Aminonicotinamide"
"552","6-Deoxohomodolichosterone"
"553","6-Dimethylaminopurine"
"554","6-Hydroxy-1H-indole-3-acetamide"
"555","6-Keto-decanoylcarnitine"
"556","6-Phosphonoglucono-D-lactone"
"557","7,8-Dihydroxyflavone"
"558","7-Aminomethyl-7-carbaguanine"
"559","7-Dehydrocholesterol"
"560","7-Ketocholesterol"
"561","8-Hydroxyquinoline"
"562","9-Hexadecenoylcarnitine"
"563","Acetophenone"
"564","Acetylcarnosine"
"565","Acetylphosphate"
"566","Adenine"
"567","Alanylproline"
"568","Alanylserine"
"569","Allantoic acid"
"570","Aminoadipic acid"
"571","Anserine"
"572","Apigenin"
"573","Aprobarbital"
"574","Arachidyl carnitine"
"575","Argininosuccinic acid"
"576","Arginylglutamic acid"
"577","Arginylhydroxyproline"
"578","Artabsinolide A"
"579","Asparagoside A"
"580","Aspartame"
"581","Aspartylglycosamine"
"582","Benzylamine"
"583","Bethanechol"
"584","Betulin"
"585","Biliverdin"
"586","Biotin"
"587","Biotin amide"
"588","Bosentan"
"589","Calcitriol"
"590","Capric acid"
"591","Carbamazepine-O-quinone"
"592","Carnosine"
"593","Cer(d18:0/16:0)"
"594","Cer(d18:1/14:0)"
"595","Cer(d18:1/18:0)"
"596","Cer(d18:1/18:1(9Z))"
"597","Cer(d18:1/20:0)"
"598","Cer(d18:1/22:0)"
"599","Cer(d18:1/22:1(13Z))"
"600","Cer(d18:1/24:1(15Z))"
"601","Cer(d18:2(4E,14Z)/16:0)"
"602","Cervonyl carnitine"
"603","Cholesterol sulfate"
"604","Chondroitin"
"605","Cincassiol B"
"606","Citicoline"
"607","Citramalic acid"
"608","Cortexolone"
"609","Coumarin"
"610","Creatine"
"611","Creatinine"
"612","Cucurbic acid"
"613","Cuminaldehyde"
"614","Cyclo(L-His-L-Pro)"
"615","Cyclovariegatin"
"616","Cytosine"
"617","D-(+)-Galactosamine"
"618","D-1-Amino-2-pyrrolidinecarboxylic acid"
"619","D-Alanyl-D-alanine"
"620","D-Threitol"
"621","DG(16:0/18:2(9Z,12Z)/0:0)"
"622","DG(16:0/18:3(6Z,9Z,12Z)/0:0)"
"623","DG(16:0/18:4(6Z,9Z,12Z,15Z)/0:0)"
"624","DG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"
"625","DG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z)/0:0)"
"626","DG(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)"
"627","DG(18:2(9Z,12Z)/18:1(11Z)/0:0)"
"628","DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)"
"629","DG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)/0:0)"
"630","DG(18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)"
"631","DG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"
"632","DG(18:2n6/0:0/18:3n3)"
"633","DG(18:3(6Z,9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)"
"634","DL-2-Aminooctanoic acid"
"635","DL-Dipalmitoylphosphatidylcholine"
"636","Decanamide"
"637","Decanoylcarnitine"
"638","Dedimethylchlorpromazine"
"639","Dehydroepiandrosterone"
"640","Dehydronorketamine"
"641","Demethylated antipyrine"
"642","Deoxycytidine"
"643","Deoxyguanosine"
"644","Deoxynivalenol"
"645","Dephospho-CoA"
"646","Deschloroketamine"
"647","Diaminopimelic acid"
"648","Diethanolamine"
"649","Diethyl oxalpropionate"
"650","Dihydrobiopterin"
"651","Dihydroceramide"
"652","Dihydrothymine"
"653","Dimethylbenzimidazole"
"654","Dimethylguanidino valeric acid"
"655","Dityrosine"
"656","Docosanamide"
"657","Dodecamethylcyclohexasiloxane"
"658","Dodecanedioic acid"
"659","Dodecanoylcarnitine"
"660","Donepezil metabolite M4"
"661","Ecgonine"
"662","Encelin"
"663","Enterodiol"
"664","Epinephrine"
"665","Eplerenone"
"666","Equol"
"667","Eremopetasinorol"
"668","Ergocalciferol"
"669","Ethyl 3-acetyl-4-oxopentanoate"
"670","Ethyl glucuronide"
"671","Ethylene brassylate"
"672","FAPy-adenine"
"673","Flavidulol C"
"674","Flucloxacillin"
"675","Flumequine"
"676","Flutamide"
"677","Folic acid"
"678","Folinic acid"
"679","Furazolidone"
"680","Gabapentin"
"681","Galactose-beta-1,4-xylose"
"682","Gerberinol"
"683","Glabric acid"
"684","Gluconolactone"
"685","Glucosamine 6-phosphate"
"686","Glutarylcarnitine"
"687","Glutarylglycine"
"688","Glycerophosphocholine"
"689","Glycyl-Lysine"
"690","Glycyl-Phenylalanine"
"691","Glycylleucine"
"692","Glycyltyrosine"
"693","Gonyautoxin I"
"694","Guanidinosuccinic acid"
"695","Guanidoacetic acid"
"696","Guanine"
"697","Guanosine monophosphate"
"698","Heptadecanoyl carnitine"
"699","Heptanoylcarnitine"
"700","Heptyl 4-hydroxybenzoate"
"701","Hexaethylene glycol"
"702","Hexanoylglycine"
"703","Histidinol"
"704","Homo-L-arginine"
"705","Homocitrulline"
"706","Hydroxygaleon"
"707","IDP"
"708","Imidazoleacetic acid ribotide"
"709","Indirubin"
"710","Indole-3-acrylic acid"
"711","Indole-3-propionic acid"
"712","Indoleacetic acid"
"713","Indoleacrylic acid"
"714","Inositol cyclic phosphate"
"715","Isobutyryl-L-carnitine"
"716","Isoelemicin"
"717","Isoleucyl-Tyrosine"
"718","Isoliquiritigenin"
"719","Isosorbide Mononitrate"
"720","Jasmonic acid"
"721","Kanosamine"
"722","Ketamine"
"723","Ketorolac"
"724","Kynuramine"
"725","Kynurenic acid"
"726","L-2-Amino-4-methylenepentanedioic acid"
"727","L-Acetopine"
"728","L-Acetylcarnitine"
"729","L-Carnitine"
"730","L-Glutamic acid"
"731","L-Kynurenine"
"732","L-Menthyl acetoacetate"
"733","L-Pipecolic acid"
"734","Lactapiperanol C"
"735","Leucyl-Alanine"
"736","LysoPC(14:0/0:0)"
"737","LysoPC(14:1(9Z)/0:0)"
"738","LysoPC(16:0/0:0)"
"739","LysoPC(16:1(9Z)/0:0)"
"740","LysoPC(18:0/0:0)"
"741","LysoPC(18:1(9Z)/0:0)"
"742","LysoPC(18:2(9Z,12Z)/0:0)"
"743","LysoPC(20:0/0:0)"
"744","LysoPC(20:1(11Z)/0:0)"
"745","LysoPC(20:2(11Z,14Z)/0:0)"
"746","LysoPC(20:3(8Z,11Z,14Z)/0:0)"
"747","LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)"
"748","LysoPC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)"
"749","LysoPC(22:0/0:0)"
"750","LysoPC(22:1(13Z)/0:0)"
"751","LysoPC(22:4(7Z,10Z,13Z,16Z)/0:0)"
"752","LysoPC(22:5(4Z,7Z,10Z,13Z,16Z)/0:0)"
"753","LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"
"754","LysoPC(24:0/0:0)"
"755","LysoPC(24:1(15Z)/0:0)"
"756","LysoPC(P-16:0/0:0)"
"757","LysoPC(P-18:0/0:0)"
"758","LysoPC(P-18:1(9Z)/0:0)"
"759","LysoPE(0:0/16:0)"
"760","LysoPE(0:0/18:1(11Z))"
"761","LysoPE(0:0/18:2(9Z,12Z))"
"762","LysoPE(0:0/18:3(6Z,9Z,12Z))"
"763","LysoPE(0:0/20:0)"
"764","LysoPE(0:0/22:1(13Z))"
"765","LysoPE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
"766","LysoPE(22:0/0:0)"
"767","MG(18:1(9Z)/0:0/0:0)"
"768","Maleamic Acid"
"769","Mecarbam"
"770","Melleolide M"
"771","Menatetrenone"
"772","Metanephrine"
"773","Methacholine"
"774","Methionine sulfoxide"
"775","Methyl 2E,4Z-hexadecadienoate"
"776","Methyl jasmonate"
"777","Methylimidazole acetaldehyde"
"778","Methylmalonylcarnitine"
"779","Methylpyrazine"
"780","Mollicellin A"
"781","Momordicilin"
"782","Monomethyl glutaric acid"
"783","Montecristin"
"784","Morphine 3-Sulfate"
"785","Muramic acid"
"786","Myristoylcarnitine"
"787","N,N'-Dicyclohexylurea"
"788","N,N-Dimethyl-p-phenylenediamine"
"789","N,N-Dimethylformamide"
"790","N-(1H-benzo[d]imidazol-2-yl)guanidine"
"791","N-(2-pyridylmethyl)urea"
"792","N-Acetylhistamine"
"793","N-Acetylhistidine"
"794","N-Acetylleucine"
"795","N-Acetylputrescine"
"796","N-Acetylserotonin"
"797","N-Acetylvaline"
"798","N-Decanoylglycine"
"799","N-Ethyl-N-methylcathinone"
"800","N-Glycolylglucosamine"
"801","N-Heptanoylglycine"
"802","N-Lauroylglycine"
"803","N-Methyl-L-isoleucine"
"804","N-Methylalanine"
"805","N-Methylethanolaminium phosphate"
"806","N-Methylnicotinamide"
"807","N-Methyltyramine"
"808","N-Nonanoylglycine"
"809","N-Palmitoyl Glutamic acid"
"810","N-a-Acetyl-L-arginine"
"811","N-alpha-Acetyl-L-citrulline"
"812","N-cyclooctylurea"
"813","N-methyl-L-glutamic Acid"
"814","N1-Acetylspermine"
